row_num,review_id,id,contract,clause_type,clause_text,category,disagreement_type,disagreement_direction,label_gap,clause_risk_profile,typical_risk_for_type,qwen_label,gemini_label,copilot_label,qwen_confidence,gemini_confidence,qwen_reason,gemini_reason,final_label,reviewer,notes
5028,MR-001,AtnInternationalInc_20191108_10-Q_EX-10.1_11878541_EX-10.1_Maintenance Agreement__Affiliate License-Licensee,AtnInternationalInc_20191108_10-Q_EX-10.1_11878541_EX-10.1_Maintenance Agreement,Affiliate License-Licensee,"Vendor hereby grants and promises to grant and have granted to AT&T and its Affiliates a royalty-free, nonexclusive, sublicensable, assignable, transferable, irrevocable, perpetual, world- wide license in and to any applicable Intellectual Property Rights of Vendor to use, copy, modify, distribute, display, perform, import, make, sell, offer to sell, and exploit (and have others do any of the foregoing on or for AT&T's or any of its customers' behalf or benefit) any Intellectual Property Rights of Vendor or any third party that are not included in Material or Paid-For Development but necessary to operate the Cell Sites or receive the full benefit of the Work.",MANUAL_REVIEW,LOW↔HIGH,Qwen↑,2,context-dependent — breadth of grant matters,LOW (57%),HIGH,LOW,Medium,0.0,1.0,"The clause grants the counterparty (AT&T) an extremely broad, perpetual, and irrevocable license to use, modify, and exploit the Vendor's intellectual property, including third-party IP, without compensation. This effectively transfers ownership-like rights to the counterparty and its customers, stripping the Vendor of control over their IP and creating significant long-term exposure.","This clause grants a broad, perpetual, worldwide, royalty-free, and sublicensable license to AT&T (the signing party) for intellectual property necessary to operate cell sites or receive the full benefit of the work. This is highly favorable to the signing party, providing extensive rights and flexibility without ongoing cost.",,Rajnish,
5029,MR-002,CardlyticsInc_20180112_S-1_EX-10.16_11002987_EX-10.16_Maintenance Agreement1__Affiliate License-Licensee,CardlyticsInc_20180112_S-1_EX-10.16_11002987_EX-10.16_Maintenance Agreement1,Affiliate License-Licensee,"Supplier hereby grants Bank of America a nonexclusive, worldwide, irrevocable, perpetual license to: (a) any patents related to or necessary or desirable to use the Software to the extent such patents are now held, licensed to or hereafter acquired by Supplier, for the purpose of allowing Bank of America and its Affiliates and permitted assigns to install, copy, use, execute, modify, distribute (as necessary or useful for Bank of America and its Affiliates and permitted assigns to enjoy their rights as set forth in the Agreement), make, have made, enhance, improve and alter the Software (both in Object Code and Source Code form) as necessary to conduct Bank of America business in accordance with the terms and restrictions or this Section; (b) any Copyrights now held, licensed to or hereafter acquired by Supplier in the Software for the purpose of allowing Bank of America and its Affiliates an permitted assigns to install, copy, use, execute, modify, distribute (as necessary or useful for Bank of America and its Affiliates and permitted assigns to enjoy their fights as set forth In the Agreement, produce derivative works from and",MANUAL_REVIEW,LOW↔HIGH,Qwen↑,2,context-dependent — breadth of grant matters,LOW (57%),HIGH,LOW,Medium,0.0,1.0,"The clause grants the licensee and its affiliates the right to modify, distribute, and create derivative works using the supplier's source code. This is highly unusual for a standard software license, as it effectively transfers ownership rights and control over the intellectual property to the customer, creating significant risk of IP dilution, unauthorized commercialization, and loss of exclusivity for the supplier.","The clause explicitly grants the license to Bank of America and its affiliates and permitted assigns, which is highly favorable to the signing party (Bank of America) as it extends the benefits of the license broadly within its corporate structure and to its successors, without requiring additional consent or separate licenses for affiliates.",,Rajnish,
5030,MR-003,"FOUNDATIONMEDICINE,INC_02_02_2015-EX-10.2-Collaboration Agreement__Affiliate License-Licensee","FOUNDATIONMEDICINE,INC_02_02_2015-EX-10.2-Collaboration Agreement",Affiliate License-Licensee,"for FMI to develop, make, have made, use, offer for sale, sell, import and commercialize the Immuno-Biomarker Discovery Platform, Signature Identification services, Clinical Study assays, CDx assays, or any other FMI testing or services (including that are part of the Genomic Analysis Platform).",MANUAL_REVIEW,LOW↔HIGH,Qwen↑,2,context-dependent — breadth of grant matters,LOW (57%),HIGH,LOW,Medium,0.0,0.9,"The clause grants the drafter (FMI) an expansive, unrestricted license to perform all commercial activities including manufacturing, selling, and importing, while the text provided appears to be a fragment lacking any reciprocal rights, limitations, or consideration for the signing party, creating a significant risk of one-sided exploitation of the signing party's assets.","This clause describes the scope of activities FMI (the licensee) is permitted to undertake with the licensed technology. It is a broad grant of rights, which is favorable to FMI as the signing party, allowing extensive commercialization and development. The clause does not impose limitations or obligations on FMI that would be considered risky.",,Rajnish,
5115,MR-088,AgapeAtpCorp_20191202_10-KA_EX-10.1_11911128_EX-10.1_Supply Agreement__Ip Ownership Assignment,AgapeAtpCorp_20191202_10-KA_EX-10.1_11911128_EX-10.1_Supply Agreement,Ip Ownership Assignment,"The Manufacturer has appointed the Customer the copyright holder of both the English and the Chinese version of the book How to achieve Super Health beyond 2000 - Advanced Edition, authored by Frank D.P. Ellis and Dr. Michael Tait M.D.",MANUAL_REVIEW,LOW↔HIGH,Qwen↑,2,typically HIGH — IP transfer to drafter,HIGH (76%),HIGH,LOW,High,0.95,1.0,"The clause unilaterally transfers full copyright ownership of the book to the Customer, stripping the Manufacturer (the signing party) of all rights to the work without any consideration, duration limits, or scope restrictions mentioned, which is a significant and disproportionate loss of intellectual property assets.","This clause explicitly states that the Customer (the signing party) is appointed the copyright holder, which is highly favorable as it grants intellectual property ownership to the signing party.",,Rajnish,
5116,MR-089,"BERKELEYLIGHTS,INC_06_26_2020-EX-10.12-COLLABORATION AGREEMENT__Ip Ownership Assignment","BERKELEYLIGHTS,INC_06_26_2020-EX-10.12-COLLABORATION AGREEMENT",Ip Ownership Assignment,"In no event shall Ginkgo, and Ginkgo shall cause its Affiliates to not, file any patent applications covering (or support existing patent applications covering) the [***] and, in the event Ginkgo (or its Affiliates) do file one or more of such patent applications, Ginkgo will and hereby does assign, and shall cause its employees, agents and contractors to assign, to BLI all rights, title and interests in, to and under such patent applications.",MANUAL_REVIEW,LOW↔HIGH,Qwen↑,2,typically HIGH — IP transfer to drafter,HIGH (76%),HIGH,LOW,High,0.95,1.0,"The clause imposes a strict prohibition on the signing party (Ginkgo) and its affiliates from filing any patent applications on the specified subject matter, while simultaneously mandating an immediate and broad assignment of all rights to the counterparty (BLI). This creates a significant risk by stripping the signing party of all future IP rights and control over the technology without any reciprocal benefit, limitation on scope, or consideration mentioned in the text.",This clause is favorable to the signing party (BLI) as it ensures that any patent applications filed by Ginkgo (the counterparty) covering the specified subject matter are automatically assigned to BLI. This protects BLI's intellectual property interests and prevents the counterparty from asserting ownership over relevant patents.,,Rajnish,
5117,MR-090,"CERES,INC_01_25_2012-EX-10.20-Collaboration Agreement__Ip Ownership Assignment","CERES,INC_01_25_2012-EX-10.20-Collaboration Agreement",Ip Ownership Assignment,The Parties acknowledge that Defra is expected to assign or license exclusively to IGER any rights in Intellectual Property which would vest in  Defra or the Crown or the Secretary of State pursuant to the DEFRA agreement NF 0426.,MANUAL_REVIEW,LOW↔HIGH,Qwen↑,2,typically HIGH — IP transfer to drafter,HIGH (76%),HIGH,LOW,High,0.95,0.9,"The clause mandates an exclusive assignment or license of all IP rights to the counterparty (IGER) for work that would otherwise vest in the signing party (Defra) or the Crown, creating a significant and disproportionate loss of ownership without reciprocal consideration or scope limitations.","This clause indicates that Defra (the counterparty to IGER) is expected to assign or exclusively license IP to IGER. From the perspective of IGER (the signing party), this is a favorable term as it ensures IGER will receive rights to relevant IP from Defra, rather than assigning its own IP away.",,Rajnish,
5118,MR-091,ClickstreamCorp_20200330_1-A_EX1A-6 MAT CTRCT_12089935_EX1A-6 MAT CTRCT_Development Agreement__Ip Ownership Assignment,ClickstreamCorp_20200330_1-A_EX1A-6 MAT CTRCT_12089935_EX1A-6 MAT CTRCT_Development Agreement,Ip Ownership Assignment,The Developer recognizes that the complete Intellectual Property of the project belongs to the Client,MANUAL_REVIEW,LOW↔HIGH,Qwen↑,2,typically HIGH — IP transfer to drafter,HIGH (76%),HIGH,LOW,High,0.95,1.0,"The clause grants the Client ownership of all project IP without limitation, excluding any pre-existing IP of the Developer or IP created outside the specific project scope, creating a total transfer of rights that severely disadvantages the signing party.","From the perspective of the Client (the signing party in this scenario, as the counterparty to the Developer), this clause is highly favorable. It explicitly states that all intellectual property for the project belongs to the Client, which is the desired outcome for a party commissioning development work.",,Rajnish,
5119,MR-092,IGENEBIOTECHNOLOGYINC_05_13_2003-EX-1-JOINT VENTURE AGREEMENT__Ip Ownership Assignment,IGENEBIOTECHNOLOGYINC_05_13_2003-EX-1-JOINT VENTURE AGREEMENT,Ip Ownership Assignment,"Subject to the terms and conditions of this Agreement, Igene shall transfer and assign, or cause to be transferred and assigned,





to the Operating Company the Transferred Assets described in Appendix 3.2.",MANUAL_REVIEW,LOW↔HIGH,Qwen↑,2,typically HIGH — IP transfer to drafter,HIGH (76%),HIGH,LOW,High,0.85,0.9,"The clause mandates an unconditional transfer of all 'Transferred Assets' to the counterparty (Operating Company) without specifying the scope of assets, consideration, or any carve-outs for pre-existing IP, creating a risk of losing ownership of all relevant intellectual property created by the signing party.","This clause describes the transfer of assets from Igene to the Operating Company. From the perspective of the Operating Company (the counterparty to Igene), this clause is favorable as it ensures the transfer of specified assets, which is likely a core benefit of the agreement. The risk is low because it confirms the acquisition of assets rather than the assignment of IP created by the Operating Company.",,Rajnish,
5120,MR-093,INGEVITYCORP_05_16_2016-EX-10.5-INTELLECTUAL PROPERTY AGREEMENT__Ip Ownership Assignment,INGEVITYCORP_05_16_2016-EX-10.5-INTELLECTUAL PROPERTY AGREEMENT,Ip Ownership Assignment,"Parent shall, and shall cause the applicable members of its Group to, contribute, assign, transfer, convey and deliver to SpinCo, or to the applicable SpinCo Designees, and SpinCo shall, and shall cause such SpinCo Designees to, accept from Parent and the applicable members of the Parent Group, all of Parent's and such Parent Group member's respective direct or indirect right, title and interest in and to all of the SpinCo IP Assets (it being understood that if any SpinCo IP Asset shall be held by a Transferred Entity or a wholly owned Subsidiary of a Transferred Entity, such SpinCo IP Asset may be assigned, transferred, conveyed and delivered to SpinCo as a result of the transfer of all of the equity interests in such Transferred Entity from Parent or the applicable members of the Parent Group to SpinCo or the applicable SpinCo Designee);",MANUAL_REVIEW,LOW↔HIGH,Qwen↑,2,typically HIGH — IP transfer to drafter,HIGH (76%),HIGH,LOW,High,0.95,1.0,"The clause mandates a mandatory, unconditional, and broad assignment of all existing and future intellectual property rights from the signing party (Parent) to the counterparty (SpinCo) without any consideration, time limits, or scope restrictions, effectively stripping the signing party of ownership of its IP assets.","This clause describes an assignment of IP from Parent to SpinCo. From SpinCo's perspective (the signing party in this context, as the recipient of the IP), this clause is favorable as it ensures the transfer of all relevant IP assets to SpinCo. It is a standard mechanism for IP transfer in corporate spin-off or asset transfer scenarios.",,Rajnish,
5121,MR-094,"INNOVIVA,INC_08_07_2014-EX-10.1-COLLABORATION AGREEMENT__Ip Ownership Assignment","INNOVIVA,INC_08_07_2014-EX-10.1-COLLABORATION AGREEMENT",Ip Ownership Assignment,In the event that this Agreement is terminated by Theravance pursuant to Section 14.2 for material breach by GSK:,MANUAL_REVIEW,LOW↔HIGH,Qwen↑,2,typically HIGH — IP transfer to drafter,HIGH (76%),HIGH,LOW,High,0.85,0.0,"The clause creates a one-sided trigger where the counterparty (GSK) loses IP rights solely based on a termination initiated by the drafter (Theravance) for a material breach, without reciprocal rights for the drafter or protections for the counterparty's independent IP, creating disproportionate exposure.","This clause is a condition precedent to an intellectual property ownership assignment, but the provided text only describes the trigger condition (termination by Theravance for GSK's material breach) and not the actual assignment terms. From the perspective of GSK (the signing party), this specific trigger condition is not inherently risky as it only activates upon their own material breach, which is within their control to avoid. Without the actual assignment language, it's impossible to assess the risk of the IP transfer itself, but the trigger alone is standard.",,Rajnish,
5122,MR-095,"KNOWLABS,INC_08_15_2005-EX-10-INTELLECTUAL PROPERTY AGREEMENT__Ip Ownership Assignment","KNOWLABS,INC_08_15_2005-EX-10-INTELLECTUAL PROPERTY AGREEMENT",Ip Ownership Assignment,"Turpin shall, at the Company's  request,  assist with, execute      and   deliver   all   further   documents,   applications,    declarations,      verifications,  submissions,  transfers  and  assignments  and do all other      things requested by the Company, acting reasonably,  during the term hereof      and  thereafter,  at the expense of the  Company,  but  without  additional      compensation,  to enable the Company or its nominees to apply for, acquire,      prosecute,  perfect,  enforce and/or maintain any and all right,  title and      interest, in any country, in and to the Confidential Information,  the Work      Product and the Intellectual Property Rights in same.",MANUAL_REVIEW,LOW↔HIGH,Gemini↑,2,typically HIGH — IP transfer to drafter,HIGH (76%),LOW,HIGH,High,0.0,1.0,"The clause imposes a standard post-creation assistance obligation on the signing party (Turpin) to perfect the counterparty's rights, which is typical for IP assignment agreements. Crucially, it includes protective terms for the signing party: the counterparty bears all costs ('at the expense of the Company') and no extra fees are required ('without additional compensation'), preventing financial exploitation beyond the initial scope.","This clause requires the signing party (Turpin) to assist the Company in acquiring and maintaining all rights, title, and interest in Confidential Information, Work Product, and related Intellectual Property Rights. This implies that ownership of IP created by Turpin, or related to the work, is assigned to the Company, which is a significant risk for the signing party as they lose ownership of their creations. The clause is heavily one-sided, benefiting the drafter (Company) by ensuring they secure all IP rights without additional compensation to Turpin for this assistance.",,Rajnish,
5123,MR-096,ParatekPharmaceuticalsInc_20170505_10-KA_EX-10.29_10323872_EX-10.29_Outsourcing Agreement__Ip Ownership Assignment,ParatekPharmaceuticalsInc_20170505_10-KA_EX-10.29_10323872_EX-10.29_Outsourcing Agreement,Ip Ownership Assignment,"Supplier agrees to assign (and cause its employees or permitted subcontractors to assign), and does hereby assign, any and all rights, title and interests of Supplier in, to or under any Inventions to Customer.",MANUAL_REVIEW,LOW↔HIGH,Qwen↑,2,typically HIGH — IP transfer to drafter,HIGH (76%),HIGH,LOW,High,0.95,1.0,"The clause mandates an immediate and blanket assignment of all current and future inventions to the Customer without limiting the scope to work performed specifically under the contract or requiring compensation. This exposes the Supplier to the loss of ownership over unrelated pre-existing or independently developed IP, creating a significant and disproportionate risk.","From the perspective of the Customer (the signing party in this scenario, as the counterparty to the drafter), this clause is highly favorable. It ensures that all intellectual property created by the Supplier (and its personnel) related to 'Inventions' is assigned to the Customer, providing clear ownership and protection for the Customer's interests. This is a standard and expected term when a customer is commissioning work that involves IP creation.",,Rajnish,
5124,MR-097,PlayboyEnterprisesInc_20090220_10-QA_EX-10.2_4091580_EX-10.2_Content License Agreement_ Marketing Agreement_ Sales-Purchase Agreement1__Ip Ownership Assignment,PlayboyEnterprisesInc_20090220_10-QA_EX-10.2_4091580_EX-10.2_Content License Agreement_ Marketing Agreement_ Sales-Purchase Agreement1,Ip Ownership Assignment,"EFS hereby irrevocably assigns, and Client hereby accepts, all right,  title and interest in and to each and every Authorized Modification, and EFS agrees to cooperate with all reasonable requests by  Client to effect or perfect such assignment.",MANUAL_REVIEW,LOW↔HIGH,Qwen↑,2,typically HIGH — IP transfer to drafter,HIGH (76%),HIGH,LOW,High,0.95,1.0,"The clause mandates an irrevocable, blanket assignment of all rights to any modifications created by the signing party (EFS) to the Client. This grants the Client ownership of derivative works or improvements without any limitation on scope, duration, or compensation, effectively stripping the signing party of future rights to their own creative output.","This clause is favorable to the Client (the signing party) as it explicitly states that EFS (the counterparty) irrevocably assigns all intellectual property rights in 'Authorized Modifications' to the Client, and the Client accepts these rights. This ensures the Client owns the IP created for them.",,Rajnish,
5125,MR-098,"VIRTUALSCOPICS,INC_11_12_2010-EX-10.1-STRATEGIC ALLIANCE AGREEMENT__Ip Ownership Assignment","VIRTUALSCOPICS,INC_11_12_2010-EX-10.1-STRATEGIC ALLIANCE AGREEMENT",Ip Ownership Assignment,"Unless otherwise addressed in an Intellectual Property Amendment, PPD hereby assigns to VS all rights that PPD may have in any invention, technology, know-how or other intellectual property which is developed with use of Confidential Information provided to PPD by VS.",MANUAL_REVIEW,LOW↔HIGH,Qwen↑,2,typically HIGH — IP transfer to drafter,HIGH (76%),HIGH,LOW,High,0.95,1.0,"The clause mandates a broad, unconditional assignment of all IP rights developed by PPD simply based on the use of VS's confidential information, without limiting the scope to inventions directly derived from that information or requiring compensation, creating significant exposure for PPD's independent innovations.","This clause assigns IP developed using the counterparty's (VS's) confidential information back to the counterparty. From the perspective of PPD (the signing party), this is a standard and expected provision to protect the disclosing party's IP and ensure that their confidential information doesn't lead to IP ownership claims by the receiving party. It is a reasonable protection for the party providing the confidential information.",,Rajnish,
5126,MR-099,XENCORINC_10_25_2013-EX-10.24-COLLABORATION AGREEMENT (3)__Ip Ownership Assignment,XENCORINC_10_25_2013-EX-10.24-COLLABORATION AGREEMENT (3),Ip Ownership Assignment,XENCOR agrees to assign and hereby assigns to BII all right title and interest it may have in any BII Intellectual Property.,MANUAL_REVIEW,LOW↔HIGH,Qwen↑,2,typically HIGH — IP transfer to drafter,HIGH (76%),HIGH,LOW,High,0.95,0.9,"The clause mandates an immediate and unconditional assignment of all rights to 'BII Intellectual Property' to the counterparty (BII). This is highly one-sided as it grants the counterparty ownership of the signing party's (Xencor's) existing or future IP related to BII without any consideration, limitation to specific projects, or protection for pre-existing IP, creating significant exposure to loss of proprietary assets.","This clause states that XENCOR assigns to BII any intellectual property that is already considered 'BII Intellectual Property'. From the perspective of the signing party (XENCOR), this is a low risk as it only confirms BII's ownership of its own IP, which is standard and expected. It does not assign any IP created by XENCOR to BII, only IP already defined as BII's.",,Rajnish,
5145,MR-118,AtnInternationalInc_20191108_10-Q_EX-10.1_11878541_EX-10.1_Maintenance Agreement__License Grant,AtnInternationalInc_20191108_10-Q_EX-10.1_11878541_EX-10.1_Maintenance Agreement,License Grant,"Vendor hereby grants and promises to grant and have granted to AT&T and its Affiliates a royalty-free, nonexclusive, sublicensable, assignable, transferable, irrevocable, perpetual, world- wide license in and to any applicable Intellectual Property Rights of Vendor to use, copy, modify, distribute, display, perform, import, make, sell, offer to sell, and exploit (and have others do any of the foregoing on or for AT&T's or any of its customers' behalf or benefit) any Intellectual Property Rights of Vendor or any third party that are not included in Material or Paid-For Development but necessary to operate the Cell Sites or receive the full benefit of the Work.",MANUAL_REVIEW,LOW↔HIGH,Qwen↑,2,typically LOW — rights granted to signing party,LOW (55%),HIGH,LOW,Medium,0.0,1.0,"The clause grants the counterparty (AT&T) an extremely broad, perpetual, and irrevocable license to use, modify, and exploit the Vendor's intellectual property, including third-party IP, without compensation. This effectively transfers ownership-like rights to the counterparty and its customers, stripping the Vendor of control over their IP and creating significant long-term exposure.","This clause grants a broad, perpetual, worldwide, royalty-free, and sublicensable license to AT&T (the signing party) for intellectual property necessary to operate cell sites or receive the full benefit of the work. This is highly favorable to the signing party, providing extensive rights and flexibility without ongoing cost.",,Rajnish,
5146,MR-119,BIOAMBERINC_04_10_2013-EX-10.34-DEVELOPMENT AGREEMENT (1)__License Grant,BIOAMBERINC_04_10_2013-EX-10.34-DEVELOPMENT AGREEMENT (1),License Grant,"Bioamber hereby grants Cargill, and Cargill hereby accepts, an exclusive, worldwide, royalty-free license with an unlimited right to  sublicense under and to Bioamber Improvements for use outside the Field during the term of this Development Agreement.",MANUAL_REVIEW,LOW↔HIGH,Qwen↑,2,typically LOW — rights granted to signing party,LOW (55%),HIGH,LOW,Medium,0.9,1.0,"The signing party (Cargill) receives an exclusive, worldwide, royalty-free license with unlimited sublicensing rights for 'Improvements' outside the defined Field. This grants the signing party broad, perpetual control over the licensor's future innovations without compensation, creating a significant risk of losing the licensor's ability to commercialize their own technology in related areas and potentially locking the licensor out of their own market.","From the perspective of Cargill (the signing party and licensee), this clause grants a highly favorable, broad, and unrestricted license. It is exclusive, worldwide, royalty-free, and includes an unlimited right to sublicense, which provides significant commercial flexibility and value to Cargill.",,Rajnish,
5147,MR-120,EtonPharmaceuticalsInc_20191114_10-Q_EX-10.1_11893941_EX-10.1_Development Agreement__License Grant,EtonPharmaceuticalsInc_20191114_10-Q_EX-10.1_11893941_EX-10.1_Development Agreement,License Grant,"Aucta, for itself and its Affiliates, hereby grants to ETON in accordance with the terms and conditions of this Agreement, an exclusive (even as to and against Aucta in the Territory) right and license, including the right to sublicense, to the Products (or any components thereof), Dossiers, and all current and future Aucta Background Intellectual Property that is owned or controlled by Aucta or its Affiliates for ETON to develop, manufacture, import, use, promote, distribute, market, advertise, offer for sale or sell (collectively, ""Market"") the Products in and for the Territory.",MANUAL_REVIEW,LOW↔HIGH,Qwen↑,2,typically LOW — rights granted to signing party,LOW (55%),HIGH,LOW,Medium,0.0,1.0,"The clause grants ETON an exclusive license that explicitly includes exclusivity against the drafter (Aucta) itself within the Territory. This creates a significant risk for ETON as it locks them into a single source for the Products and related IP, preventing them from sourcing alternatives or engaging with other providers for the same technology in that region, which severely limits their operational flexibility and bargaining power.","From the perspective of ETON (the signing party), this clause grants an exclusive license, which is highly favorable as it prevents Aucta from competing with ETON in the specified territory for the licensed products and IP. This provides ETON with a strong market position.",,Rajnish,
5148,MR-121,GluMobileInc_20070319_S-1A_EX-10.09_436630_EX-10.09_Content License Agreement1__License Grant,GluMobileInc_20070319_S-1A_EX-10.09_436630_EX-10.09_Content License Agreement1,License Grant,"Except as otherwise specifically stated herein with respect to the Wireless Products, Licensee shall have no right to develop, manufacture, reproduce, distribute, sell or exploit any other products based on the PSM or the Property.",MANUAL_REVIEW,LOW↔HIGH,Gemini↑,2,typically LOW — rights granted to signing party,LOW (55%),LOW,HIGH,Medium,0.95,0.9,"This is a standard and expected restriction in a license agreement, clearly defining the scope of the grant by explicitly prohibiting the licensee from creating derivative works or competing products. It protects the licensor's intellectual property without imposing unusual or disproportionate burdens on the licensee beyond the normal boundaries of a limited license.","This clause severely restricts the licensee's ability to use the licensed property (PSM or the Property) for any purpose beyond what is specifically granted for 'Wireless Products'. It explicitly denies the licensee the right to develop, manufacture, reproduce, distribute, sell, or exploit any other products based on the licensed property, which is a significant limitation on potential business expansion or innovation for the licensee.",,Rajnish,
